Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/24/2017 00:00,CAPITL,61757,26.49,0.51,-17.41
11/24/2017 00:00,CENTRL,61754,10.78,0.14,-2.08
11/24/2017 00:00,DUNWOD,61760,22.45,0.81,-13.07
11/24/2017 00:00,GENESE,61753,10.09,-0.10,-1.62
11/24/2017 00:00,H Q,61844,8.28,-0.29,0.00
11/24/2017 00:00,HUD VL,61758,22.38,0.76,-13.05
11/24/2017 00:00,LONGIL,61762,25.42,1.12,-15.73
11/24/2017 00:00,MHK VL,61756,10.97,0.15,-2.26
11/24/2017 00:00,MILLWD,61759,22.57,0.81,-13.20
11/24/2017 00:00,N.Y.C.,61761,22.55,0.91,-13.08
11/24/2017 00:00,NORTH,61755,8.14,-0.43,0.00
11/24/2017 00:00,NPX,61845,24.60,0.63,-15.41
11/24/2017 00:00,O H,61846,10.68,-0.09,-2.21
11/24/2017 00:00,PJM,61847,17.34,0.46,-8.31
11/24/2017 00:00,WEST,61752,10.79,0.09,-2.13
11/24/2017 01:00,CAPITL,61757,23.00,0.51,-13.92
11/24/2017 01:00,CENTRL,61754,10.38,0.15,-1.66
11/24/2017 01:00,DUNWOD,61760,19.82,0.81,-10.44
11/24/2017 01:00,GENESE,61753,9.79,-0.08,-1.30
11/24/2017 01:00,H Q,61844,8.27,-0.30,0.00
11/24/2017 01:00,HUD VL,61758,19.77,0.77,-10.43
11/24/2017 01:00,LONGIL,61762,22.47,1.11,-12.80
11/24/2017 01:00,MHK VL,61756,10.53,0.15,-1.80
11/24/2017 01:00,MILLWD,61759,19.93,0.81,-10.55
11/24/2017 01:00,N.Y.C.,61761,19.92,0.90,-10.45
11/24/2017 01:00,NORTH,61755,8.11,-0.46,0.00
11/24/2017 01:00,NPX,61845,21.52,0.63,-12.31
11/24/2017 01:00,O H,61846,10.29,-0.04,-1.76
11/24/2017 01:00,PJM,61847,15.69,0.48,-6.64
11/24/2017 01:00,WEST,61752,10.43,0.16,-1.70
11/24/2017 02:00,CAPITL,61757,21.17,0.47,-13.08
11/24/2017 02:00,CENTRL,61754,9.29,0.11,-1.56
11/24/2017 02:00,DUNWOD,61760,18.12,0.69,-9.81
11/24/2017 02:00,GENESE,61753,8.74,-0.09,-1.22
11/24/2017 02:00,H Q,61844,7.36,-0.25,0.00
11/24/2017 02:00,HUD VL,61758,18.09,0.67,-9.80
11/24/2017 02:00,LONGIL,61762,22.20,0.99,-13.59
11/24/2017 02:00,MHK VL,61756,9.45,0.14,-1.69
11/24/2017 02:00,MILLWD,61759,18.22,0.69,-9.91
11/24/2017 02:00,N.Y.C.,61761,18.21,0.77,-9.82
11/24/2017 02:00,NORTH,61755,7.26,-0.36,0.00
11/24/2017 02:00,NPX,61845,19.74,0.56,-11.57
11/24/2017 02:00,O H,61846,9.20,-0.08,-1.66
11/24/2017 02:00,PJM,61847,14.25,0.40,-6.24
11/24/2017 02:00,WEST,61752,9.31,0.10,-1.60
11/24/2017 03:00,CAPITL,61757,20.00,0.51,-11.24
11/24/2017 03:00,CENTRL,61754,9.70,0.12,-1.34
11/24/2017 03:00,DUNWOD,61760,17.43,0.75,-8.44
11/24/2017 03:00,GENESE,61753,9.18,-0.12,-1.05
11/24/2017 03:00,H Q,61844,7.98,-0.26,0.00
11/24/2017 03:00,HUD VL,61758,17.40,0.73,-8.42
11/24/2017 03:00,LONGIL,61762,20.63,1.03,-11.35
11/24/2017 03:00,MHK VL,61756,9.85,0.15,-1.46
11/24/2017 03:00,MILLWD,61759,17.52,0.76,-8.52
11/24/2017 03:00,N.Y.C.,61761,17.51,0.82,-8.44
11/24/2017 03:00,NORTH,61755,7.88,-0.37,0.00
11/24/2017 03:00,NPX,61845,18.79,0.59,-9.95
11/24/2017 03:00,O H,61846,9.56,-0.12,-1.42
