Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/13/2017 00:00,CAPITL,61757,21.17,1.31,-0.07
01/13/2017 00:00,CENTRL,61754,20.18,0.38,-0.01
01/13/2017 00:00,DUNWOD,61760,21.56,1.72,-0.05
01/13/2017 00:00,GENESE,61753,19.82,0.02,-0.01
01/13/2017 00:00,H Q,61844,13.80,-0.73,5.26
01/13/2017 00:00,HUD VL,61758,21.47,1.62,-0.05
01/13/2017 00:00,LONGIL,61762,21.91,2.06,-0.05
01/13/2017 00:00,MHK VL,61756,20.44,0.63,-0.01
01/13/2017 00:00,MILLWD,61759,21.53,1.68,-0.05
01/13/2017 00:00,N.Y.C.,61761,21.75,1.90,-0.05
01/13/2017 00:00,NORTH,61755,18.65,-1.15,0.00
01/13/2017 00:00,NPX,61845,21.30,1.44,-0.06
01/13/2017 00:00,O H,61846,18.39,-0.08,1.33
01/13/2017 00:00,PJM,61847,20.51,0.69,-0.03
01/13/2017 00:00,WEST,61752,20.22,0.42,-0.01
01/13/2017 01:00,CAPITL,61757,21.57,1.07,-5.21
01/13/2017 01:00,CENTRL,61754,16.13,0.31,-0.54
01/13/2017 01:00,DUNWOD,61760,20.23,1.28,-3.66
01/13/2017 01:00,GENESE,61753,15.72,0.02,-0.42
01/13/2017 01:00,H Q,61844,12.70,-0.58,2.01
01/13/2017 01:00,HUD VL,61758,20.16,1.24,-3.63
01/13/2017 01:00,LONGIL,61762,20.16,1.21,-3.66
01/13/2017 01:00,MHK VL,61756,16.31,0.44,-0.58
01/13/2017 01:00,MILLWD,61759,20.28,1.28,-3.71
01/13/2017 01:00,N.Y.C.,61761,20.36,1.41,-3.66
01/13/2017 01:00,NORTH,61755,14.30,-0.99,0.00
01/13/2017 01:00,NPX,61845,20.91,1.10,-4.52
01/13/2017 01:00,O H,61846,15.92,0.06,-0.57
01/13/2017 01:00,PJM,61847,17.88,0.60,-1.99
01/13/2017 01:00,WEST,61752,16.27,0.43,-0.55
01/13/2017 02:00,CAPITL,61757,21.38,0.93,-6.80
01/13/2017 02:00,CENTRL,61754,14.62,0.27,-0.70
