Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/25/2017 00:00,CAPITL,61757,42.93,0.65,-33.09
12/25/2017 00:00,CENTRL,61754,13.22,0.02,-4.02
12/25/2017 00:00,DUNWOD,61760,34.76,0.80,-24.77
12/25/2017 00:00,GENESE,61753,12.07,-0.20,-3.08
12/25/2017 00:00,H Q,61844,8.95,-0.24,0.00
12/25/2017 00:00,HUD VL,61758,34.53,0.74,-24.60
12/25/2017 00:00,LONGIL,61762,40.22,1.16,-29.88
12/25/2017 00:00,MHK VL,61756,13.47,0.21,-4.07
12/25/2017 00:00,MILLWD,61759,35.01,0.82,-25.00
12/25/2017 00:00,N.Y.C.,61761,34.86,0.87,-24.79
12/25/2017 00:00,NORTH,61755,8.91,-0.28,0.00
12/25/2017 00:00,NPX,61845,50.26,0.74,-40.34
12/25/2017 00:00,O H,61846,13.01,-0.36,-4.18
12/25/2017 00:00,PJM,61847,24.53,0.27,-15.07
12/25/2017 00:00,WEST,61752,13.03,-0.17,-4.01
12/25/2017 01:00,CAPITL,61757,39.58,0.60,-30.36
12/25/2017 01:00,CENTRL,61754,12.32,0.00,-3.68
12/25/2017 01:00,DUNWOD,61760,32.08,0.72,-22.73
12/25/2017 01:00,GENESE,61753,11.24,-0.22,-2.83
12/25/2017 01:00,H Q,61844,8.42,-0.22,0.00
12/25/2017 01:00,HUD VL,61758,31.88,0.68,-22.57
12/25/2017 01:00,LONGIL,61762,32.41,1.03,-22.76
12/25/2017 01:00,MHK VL,61756,12.55,0.18,-3.73
12/25/2017 01:00,MILLWD,61759,32.30,0.73,-22.94
12/25/2017 01:00,N.Y.C.,61761,32.17,0.79,-22.75
12/25/2017 01:00,NORTH,61755,8.38,-0.25,0.00
12/25/2017 01:00,NPX,61845,47.17,0.68,-37.86
12/25/2017 01:00,O H,61846,12.10,-0.37,-3.84
12/25/2017 01:00,PJM,61847,22.68,0.22,-13.82
12/25/2017 01:00,WEST,61752,12.12,-0.20,-3.68
12/25/2017 02:00,CAPITL,61757,34.42,0.59,-25.50
12/25/2017 02:00,CENTRL,61754,11.46,0.03,-3.09
12/25/2017 02:00,DUNWOD,61760,28.12,0.70,-19.09
12/25/2017 02:00,GENESE,61753,10.56,-0.15,-2.38
12/25/2017 02:00,H Q,61844,8.10,-0.23,0.00
12/25/2017 02:00,HUD VL,61758,27.97,0.68,-18.95
12/25/2017 02:00,LONGIL,61762,28.37,0.92,-19.11
12/25/2017 02:00,MHK VL,61756,11.62,0.15,-3.14
12/25/2017 02:00,MILLWD,61759,28.32,0.72,-19.27
12/25/2017 02:00,N.Y.C.,61761,28.21,0.77,-19.11
12/25/2017 02:00,NORTH,61755,8.00,-0.33,0.00
12/25/2017 02:00,NPX,61845,45.34,0.67,-36.34
12/25/2017 02:00,O H,61846,11.32,-0.23,-3.22
12/25/2017 02:00,PJM,61847,20.75,0.27,-12.14
12/25/2017 02:00,WEST,61752,11.37,-0.06,-3.09
12/25/2017 03:00,CAPITL,61757,33.08,0.59,-24.11
12/25/2017 03:00,CENTRL,61754,11.35,0.03,-2.93
12/25/2017 03:00,DUNWOD,61760,27.15,0.71,-18.05
12/25/2017 03:00,GENESE,61753,10.48,-0.15,-2.25
12/25/2017 03:00,H Q,61844,8.15,-0.23,0.00
12/25/2017 03:00,HUD VL,61758,27.00,0.70,-17.92
12/25/2017 03:00,LONGIL,61762,27.36,0.91,-18.07
12/25/2017 03:00,MHK VL,61756,11.50,0.15,-2.97
12/25/2017 03:00,MILLWD,61759,27.33,0.73,-18.22
12/25/2017 03:00,N.Y.C.,61761,27.23,0.78,-18.07
12/25/2017 03:00,NORTH,61755,8.03,-0.35,0.00
12/25/2017 03:00,NPX,61845,44.54,0.67,-35.48
12/25/2017 03:00,O H,61846,11.20,-0.23,-3.05
12/25/2017 03:00,PJM,61847,20.16,0.29,-11.48
12/25/2017 03:00,WEST,61752,11.24,-0.07,-2.92
12/25/2017 04:00,CAPITL,61757,33.51,0.61,-24.48
