datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Coal,26410.9,0.26,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Gas,37584.6,0.37,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Hydro,1223.9,0.01,True
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Multiple Fuels,416.1,0.00,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Nuclear,32662.2,0.32,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Oil,73.1,0.00,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Other,45.5,0.00,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Other Renewables,705.6,0.01,True
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Solar,8.7,0.00,True
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Storage,0.0,0.00,False
9/1/2021 3:00:00 AM,8/31/2021 11:00:00 PM,Wind,3510.3,0.03,True
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Coal,28499.6,0.26,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Gas,41593.8,0.38,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Hydro,1221.8,0.01,True
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Multiple Fuels,457.6,0.00,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Nuclear,32628.7,0.30,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Oil,72.9,0.00,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Other,46.5,0.00,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Other Renewables,714.7,0.00,True
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Solar,8.7,0.00,True
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Storage,0.0,0.00,False
9/1/2021 2:00:00 AM,8/31/2021 10:00:00 PM,Wind,3121.4,0.03,True
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Coal,30061.9,0.26,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Gas,43773.9,0.39,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Hydro,1603.5,0.01,True
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Multiple Fuels,1666.3,0.01,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Nuclear,32617.8,0.29,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Oil,91.8,0.00,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Other,44.0,0.00,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Other Renewables,712.8,0.00,True
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Solar,8.8,0.00,True
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Storage,0.0,0.00,False
9/1/2021 1:00:00 AM,8/31/2021 9:00:00 PM,Wind,3046.3,0.03,True
9/1/2021 12:00:00 AM,8/31/2021 8:00:00 PM,Coal,30615.6,0.26,False
