datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Coal,10923.0,0.15,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Gas,27979.7,0.38,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Hydro,1688.7,0.02,True
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Multiple Fuels,147.2,0.00,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Nuclear,27112.2,0.37,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Oil,170.2,0.00,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Other,23.8,0.00,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Other Renewables,495.0,0.01,True
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Solar,3.5,0.00,True
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Storage,0.0,0.00,False
11/1/2021 3:00:00 AM,10/31/2021 11:00:00 PM,Wind,5354.3,0.07,True
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Coal,10868.2,0.15,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Gas,28658.6,0.38,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Hydro,1688.5,0.02,True
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Multiple Fuels,247.2,0.00,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Nuclear,27119.8,0.36,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Oil,169.2,0.00,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Other,23.9,0.00,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Other Renewables,489.7,0.01,True
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Solar,3.5,0.00,True
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Storage,0.0,0.00,False
11/1/2021 2:00:00 AM,10/31/2021 10:00:00 PM,Wind,5665.8,0.08,True
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Coal,10941.4,0.14,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Gas,30783.4,0.39,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Hydro,2149.8,0.03,True
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Multiple Fuels,579.6,0.01,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Nuclear,27106.9,0.35,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Oil,169.4,0.00,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Other,23.8,0.00,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Other Renewables,481.9,0.01,True
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Solar,3.5,0.00,True
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Storage,0.0,0.00,False
11/1/2021 1:00:00 AM,10/31/2021 9:00:00 PM,Wind,6108.7,0.08,True
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Coal,10942.8,0.14,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Gas,30305.3,0.38,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Hydro,3444.8,0.04,True
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Multiple Fuels,673.5,0.01,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Nuclear,27095.4,0.34,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Oil,169.5,0.00,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Other,23.7,0.00,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Other Renewables,488.1,0.01,True
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Solar,3.5,0.00,True
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Storage,0.0,0.00,False
11/1/2021 12:00:00 AM,10/31/2021 8:00:00 PM,Wind,6131.8,0.08,True
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Coal,10851.0,0.14,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Gas,30201.7,0.38,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Hydro,3588.8,0.05,True
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Multiple Fuels,620.0,0.01,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Nuclear,27076.1,0.34,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Oil,171.0,0.00,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Other,23.9,0.00,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Other Renewables,480.9,0.01,True
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Solar,3.5,0.00,True
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Storage,0.0,0.00,False
10/31/2021 11:00:00 PM,10/31/2021 7:00:00 PM,Wind,6033.3,0.08,True
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Coal,10576.1,0.14,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Gas,29682.8,0.38,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Hydro,3025.2,0.04,True
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Multiple Fuels,651.5,0.01,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Nuclear,26960.6,0.35,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Oil,170.8,0.00,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Other,23.9,0.00,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Other Renewables,478.7,0.01,True
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Solar,3.5,0.00,True
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Storage,0.0,0.00,False
10/31/2021 10:00:00 PM,10/31/2021 6:00:00 PM,Wind,6239.2,0.08,True
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Coal,10491.4,0.14,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Gas,28386.4,0.37,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Hydro,2527.2,0.03,True
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Multiple Fuels,626.8,0.01,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Nuclear,26963.8,0.35,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Oil,171.8,0.00,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Other,47.1,0.00,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Other Renewables,493.6,0.01,True
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Solar,364.3,0.00,True
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Storage,0.0,0.00,False
10/31/2021 9:00:00 PM,10/31/2021 5:00:00 PM,Wind,6271.0,0.08,True
10/31/2021 8:00:00 PM,10/31/2021 4:00:00 PM,Coal,10370.1,0.14,False
10/31/2021 8:00:00 PM,10/31/2021 4:00:00 PM,Gas,27044.1,0.36,False
