datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Coal,24631.7,0.25,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Gas,31698.8,0.32,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Hydro,912.4,0.01,True
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Multiple Fuels,252.1,0.00,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Nuclear,33668.5,0.34,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Oil,176.7,0.00,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Other,61.2,0.00,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Other Renewables,687.8,0.01,True
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Solar,0.0,0.00,True
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Storage,0.0,0.00,False
2/1/2021 4:00:00 AM,1/31/2021 11:00:00 PM,Wind,6212.5,0.06,True
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Coal,25812.9,0.26,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Gas,32876.6,0.33,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Hydro,944.5,0.01,True
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Multiple Fuels,250.6,0.00,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Nuclear,33672.4,0.33,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Oil,175.4,0.00,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Other,60.9,0.00,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Other Renewables,674.4,0.00,True
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Solar,0.0,0.00,True
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Storage,0.0,0.00,False
2/1/2021 3:00:00 AM,1/31/2021 10:00:00 PM,Wind,6482.6,0.06,True
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Coal,26546.2,0.26,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Gas,34007.6,0.33,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Hydro,1296.8,0.01,True
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Multiple Fuels,430.5,0.00,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Nuclear,33650.5,0.32,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Oil,172.0,0.00,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Other,61.8,0.00,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Other Renewables,689.9,0.00,True
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Solar,0.0,0.00,True
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Storage,0.0,0.00,False
2/1/2021 2:00:00 AM,1/31/2021 9:00:00 PM,Wind,6736.3,0.07,True
2/1/2021 1:00:00 AM,1/31/2021 8:00:00 PM,Coal,26944.8,0.25,False
2/1/2021 1:00:00 AM,1/31/2021 8:00:00 PM,Gas,35690.9,0.33,False
2/1/2021 1:00:00 AM,1/31/2021 8:00:00 PM,Hydro,2138.6,0.02,True
2/1/2021 1:00:00 AM,1/31/2021 8:00:00 PM,Multiple Fuels,468.3,0.00,False
