datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Coal,37953.5,0.34,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Gas,41941.9,0.37,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Hydro,374.6,0.00,True
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Multiple Fuels,276.0,0.00,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Nuclear,30620.3,0.27,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Oil,358.1,0.00,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Other,36.6,0.00,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Other Renewables,699.3,0.00,True
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Solar,7.1,0.00,True
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Storage,0.0,0.00,False
7/1/2021 3:00:00 AM,6/30/2021 11:00:00 PM,Wind,960.6,0.01,True
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Coal,39990.7,0.33,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Gas,46642.9,0.39,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Hydro,448.6,0.00,True
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Multiple Fuels,567.0,0.00,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Nuclear,30563.3,0.25,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Oil,621.4,0.01,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Other,37.1,0.00,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Other Renewables,691.7,0.00,True
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Solar,7.1,0.00,True
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Storage,0.0,0.00,False
7/1/2021 2:00:00 AM,6/30/2021 10:00:00 PM,Wind,967.2,0.01,True
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Coal,41307.6,0.32,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Gas,51256.7,0.40,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Hydro,1340.5,0.01,True
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Multiple Fuels,1850.5,0.01,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Nuclear,30552.2,0.24,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Oil,863.8,0.01,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Other,40.6,0.00,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Other Renewables,686.4,0.00,True
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Solar,7.0,0.00,True
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Storage,0.0,0.00,False
7/1/2021 1:00:00 AM,6/30/2021 9:00:00 PM,Wind,860.5,0.01,True
7/1/2021 12:00:00 AM,6/30/2021 8:00:00 PM,Coal,41540.7,0.31,False
7/1/2021 12:00:00 AM,6/30/2021 8:00:00 PM,Gas,54241.9,0.41,False
