datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Coal,15376.3,0.20,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Gas,25868.9,0.34,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Hydro,634.6,0.01,True
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Multiple Fuels,0.0,0.00,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Nuclear,28364.0,0.37,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Oil,202.5,0.00,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Other,81.8,0.00,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Other Renewables,679.6,0.01,True
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Solar,3.6,0.00,True
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Storage,0.0,0.00,False
5/1/2021 3:00:00 AM,4/30/2021 11:00:00 PM,Wind,4550.0,0.06,True
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Coal,16852.1,0.21,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Gas,28533.6,0.36,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Hydro,784.7,0.01,True
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Multiple Fuels,143.0,0.00,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Nuclear,28348.9,0.36,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Oil,199.5,0.00,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Other,137.1,0.00,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Other Renewables,694.2,0.01,True
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Solar,3.6,0.00,True
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Storage,0.0,0.00,False
5/1/2021 2:00:00 AM,4/30/2021 10:00:00 PM,Wind,4079.8,0.05,True
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Coal,17552.2,0.21,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Gas,30135.2,0.36,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Hydro,1606.7,0.02,True
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Multiple Fuels,302.0,0.00,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Nuclear,28353.1,0.34,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Oil,201.8,0.00,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Other,197.1,0.00,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Other Renewables,682.9,0.01,True
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Solar,3.6,0.00,True
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Storage,0.0,0.00,False
5/1/2021 1:00:00 AM,4/30/2021 9:00:00 PM,Wind,3749.9,0.05,True
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Coal,16750.7,0.20,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Gas,29949.7,0.36,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Hydro,2468.5,0.03,True
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Multiple Fuels,355.0,0.00,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Nuclear,28361.4,0.34,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Oil,199.9,0.00,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Other,82.0,0.00,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Other Renewables,680.4,0.01,True
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Solar,3.7,0.00,True
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Storage,0.0,0.00,False
5/1/2021 12:00:00 AM,4/30/2021 8:00:00 PM,Wind,3907.8,0.05,True
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Coal,16820.7,0.20,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Gas,29833.7,0.36,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Hydro,1833.9,0.02,True
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Multiple Fuels,352.0,0.00,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Nuclear,28349.9,0.34,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Oil,200.6,0.00,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Other,132.8,0.00,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Other Renewables,658.1,0.01,True
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Solar,236.3,0.00,True
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Storage,0.0,0.00,False
4/30/2021 11:00:00 PM,4/30/2021 7:00:00 PM,Wind,4088.7,0.05,True
