datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Coal,17152.9,0.21,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Gas,22881.7,0.28,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Hydro,2094.3,0.03,True
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Multiple Fuels,183.4,0.00,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Nuclear,31209.6,0.38,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Oil,85.5,0.00,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Other,52.4,0.00,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Other Renewables,623.6,0.01,True
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Solar,11.9,0.00,True
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Storage,0.0,0.00,False
3/1/2021 4:00:00 AM,2/28/2021 11:00:00 PM,Wind,7314.9,0.09,True
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Coal,17384.5,0.20,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Gas,25918.6,0.30,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Hydro,2110.8,0.02,True
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Multiple Fuels,189.4,0.00,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Nuclear,31379.8,0.37,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Oil,87.0,0.00,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Other,53.8,0.00,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Other Renewables,624.9,0.01,True
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Solar,11.9,0.00,True
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Storage,0.0,0.00,False
3/1/2021 3:00:00 AM,2/28/2021 10:00:00 PM,Wind,7308.9,0.09,True
3/1/2021 2:00:00 AM,2/28/2021 9:00:00 PM,Coal,17891.7,0.20,False
3/1/2021 2:00:00 AM,2/28/2021 9:00:00 PM,Gas,28450.4,0.32,False
3/1/2021 2:00:00 AM,2/28/2021 9:00:00 PM,Hydro,2187.8,0.02,True
3/1/2021 2:00:00 AM,2/28/2021 9:00:00 PM,Multiple Fuels,206.5,0.00,False
