"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/25/2021 00:00:00","EST","CAPITL",61757,1252.3185
"02/25/2021 00:00:00","EST","CENTRL",61754,1667.9499
"02/25/2021 00:00:00","EST","DUNWOD",61760,514.3663
"02/25/2021 00:00:00","EST","GENESE",61753,970.1396
"02/25/2021 00:00:00","EST","HUD VL",61758,905.8135
"02/25/2021 00:00:00","EST","LONGIL",61762,1784.1363
"02/25/2021 00:00:00","EST","MHK VL",61756,850.4268
"02/25/2021 00:00:00","EST","MILLWD",61759,271.3372
"02/25/2021 00:00:00","EST","N.Y.C.",61761,4535.4535
"02/25/2021 00:00:00","EST","NORTH",61755,626.805
"02/25/2021 00:00:00","EST","WEST",61752,1481.0169
"02/25/2021 01:00:00","EST","CAPITL",61757,1231.2199
"02/25/2021 01:00:00","EST","CENTRL",61754,1649.1703
"02/25/2021 01:00:00","EST","DUNWOD",61760,499.6306
"02/25/2021 01:00:00","EST","GENESE",61753,956.3325
"02/25/2021 01:00:00","EST","HUD VL",61758,877.4975
"02/25/2021 01:00:00","EST","LONGIL",61762,1708.0572
"02/25/2021 01:00:00","EST","MHK VL",61756,833.8684
"02/25/2021 01:00:00","EST","MILLWD",61759,264.1052
"02/25/2021 01:00:00","EST","N.Y.C.",61761,4366.0132
"02/25/2021 01:00:00","EST","NORTH",61755,627.2154
"02/25/2021 01:00:00","EST","WEST",61752,1450.3566
"02/25/2021 02:00:00","EST","CAPITL",61757,1221.0405
"02/25/2021 02:00:00","EST","CENTRL",61754,1641.2482
"02/25/2021 02:00:00","EST","DUNWOD",61760,487.5747
"02/25/2021 02:00:00","EST","GENESE",61753,950.5017
"02/25/2021 02:00:00","EST","HUD VL",61758,865.6387
"02/25/2021 02:00:00","EST","LONGIL",61762,1666.8308
"02/25/2021 02:00:00","EST","MHK VL",61756,826.8245
"02/25/2021 02:00:00","EST","MILLWD",61759,267.7081
"02/25/2021 02:00:00","EST","N.Y.C.",61761,4267.8798
"02/25/2021 02:00:00","EST","NORTH",61755,632.7868
"02/25/2021 02:00:00","EST","WEST",61752,1447.5831
"02/25/2021 03:00:00","EST","CAPITL",61757,1220.8327
"02/25/2021 03:00:00","EST","CENTRL",61754,1648.3871
"02/25/2021 03:00:00","EST","DUNWOD",61760,482.6673
"02/25/2021 03:00:00","EST","GENESE",61753,955.2284
"02/25/2021 03:00:00","EST","HUD VL",61758,866.4821
"02/25/2021 03:00:00","EST","LONGIL",61762,1660.3049
"02/25/2021 03:00:00","EST","MHK VL",61756,829.0455
"02/25/2021 03:00:00","EST","MILLWD",61759,272.0316
"02/25/2021 03:00:00","EST","N.Y.C.",61761,4222.0486
"02/25/2021 03:00:00","EST","NORTH",61755,634.8735
"02/25/2021 03:00:00","EST","WEST",61752,1460.8482
"02/25/2021 04:00:00","EST","CAPITL",61757,1253.4528
"02/25/2021 04:00:00","EST","CENTRL",61754,1671.3181
"02/25/2021 04:00:00","EST","DUNWOD",61760,492.1303
"02/25/2021 04:00:00","EST","GENESE",61753,984.1526
"02/25/2021 04:00:00","EST","HUD VL",61758,883.972
"02/25/2021 04:00:00","EST","LONGIL",61762,1703.4706
"02/25/2021 04:00:00","EST","MHK VL",61756,850.6474
"02/25/2021 04:00:00","EST","MILLWD",61759,276.7896
"02/25/2021 04:00:00","EST","N.Y.C.",61761,4256.8987
"02/25/2021 04:00:00","EST","NORTH",61755,638.9033
"02/25/2021 04:00:00","EST","WEST",61752,1490.4751
"02/25/2021 05:00:00","EST","CAPITL",61757,1323.6691
"02/25/2021 05:00:00","EST","CENTRL",61754,1781.6812
"02/25/2021 05:00:00","EST","DUNWOD",61760,522.8062
"02/25/2021 05:00:00","EST","GENESE",61753,1052.5764
"02/25/2021 05:00:00","EST","HUD VL",61758,939.335
"02/25/2021 05:00:00","EST","LONGIL",61762,1817.8849
"02/25/2021 05:00:00","EST","MHK VL",61756,908.0652
"02/25/2021 05:00:00","EST","MILLWD",61759,296.1696
"02/25/2021 05:00:00","EST","N.Y.C.",61761,4474.7619
"02/25/2021 05:00:00","EST","NORTH",61755,651.1811
"02/25/2021 05:00:00","EST","WEST",61752,1563.4162
"02/25/2021 06:00:00","EST","CAPITL",61757,1436.7624
"02/25/2021 06:00:00","EST","CENTRL",61754,1953.0292
