datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,AE,AECO,710.547,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3407.108,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2471.806,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,AEP,AEPKPT,442.916,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,AEP,AEPOPT,4890.009,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,AP,AP,4348.655,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,BC,BC,2470.774,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,CE,CE,8376.191,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,DAY,DAY,1473.000,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,DEOK,DEOK,2140.271,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,SERC,SOUTH,DOM,DOM,9074.365,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1377.636,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,DUQ,DUQ,1136.034,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,DPL,EASTON,17.481,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,SERC,WEST,EKPC,EKPC,1098.337,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,JC,JC,1710.383,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,ME,ME,1288.373,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,ATSI,OE,5197.952,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,OVEC,OVEC,18.000,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,WEST,ATSI,PAPWR,448.869,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PE,PE,3099.194,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,1970.968,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PL,PLCO,3278.445,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PN,PN,1560.968,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PS,PS,3592.941,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,RECO,RECO,113.444,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PEP,SMECO,255.349,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,PL,UGI,84.608,True
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,AE,VMEU,58.945,False
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RTO,RTO,RTO,RTO,66113.569,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,AE,AECO,723.744,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3360.312,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2397.157,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,AEP,AEPKPT,434.799,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4744.434,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,AP,AP,4215.789,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,BC,BC,2386.941,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,CE,CE,8172.220,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,DAY,DAY,1447.000,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,DEOK,DEOK,2097.742,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,SERC,SOUTH,DOM,DOM,8851.420,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1332.723,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,DUQ,DUQ,1108.150,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.477,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,SERC,WEST,EKPC,EKPC,1107.449,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,JC,JC,1647.785,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,ME,ME,1266.317,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,ATSI,OE,5090.496,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,OVEC,OVEC,12.000,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,WEST,ATSI,PAPWR,432.121,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PE,PE,2989.036,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1898.685,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PL,PLCO,3184.563,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PN,PN,1553.607,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PS,PS,3449.101,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,RECO,RECO,109.802,False
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PEP,SMECO,244.418,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,PL,UGI,82.076,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,AE,VMEU,57.497,False
