06/29/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		954		255		230		143		3796		0		0		
	2		951		253		230		144		3476		0		0		
	3		950		250		231		147		3226		0		0		
	4		949		242		231		167		2964		0		0		
	5		948		264		230		187		2628		0		0		
	6		950		276		230		198		2133		10		0		
	7		956		284		227		236		2105		1352		0		
	8		956		270		226		271		2104		4955		142		
	9		954		263		228		231		1804		8017		164		
	10		949		263		226		186		1533		8515		158		
	11		944		267		226		183		1452		9815		232		
	12		909		281		225		184		1476		10662		279		
	13		905		285		223		187		1725		10676		39		
	14		906		289		226		185		1751		9622		23		
	15		907		293		226		193		1565		9981		70		
	16		908		296		228		198		1496		8911		11		
	17		911		300		228		207		1997		6088		10		
	18		912		297		231		291		1922		4682		0		
	19		914		294		232		319		1347		3455		0		
	20		919		293		232		322		1598		1061		0		
	21		922		292		234		322		1994		0		0		
	22		924		293		233		290		2156		0		0		
	23		928		283		231		227		2000		0		0		
	24		933		276		229		159		1812		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5357		2274		10748		8370		851						
	2		5049		2274		9113		9063		833						
	3		4787		2274		8424		8952		819						
	4		4536		2273		7955		9157		810						
	5		4249		2272		7995		9280		884						
	6		3804		2272		8486		9705		917						
	7		5011		2271		9673		7526		1261						
	8		8727		2271		9204		5353		1302						
	9		11595		2270		9295		3868		862						
	10		11827		2270		10202		3101		857						
	11		13043		2270		10503		2292		864						
	12		13985		2270		11191		1800		792						
	13		14086		2272		12260		800		1350						
	14		13024		2272		13853		1294		1663						
	15		13243		2271		14984		1005		2076						
	16		12145		2270		16545		1308		2498						
	17		9812		2268		17601		2885		3301						
	18		8451		2268		18857		3263		3785						
	19		6641		2268		19774		4270		3881						
	20		4516		2269		19825		5556		3974						
	21		3752		2269		19515		6315		3743						
	22		3872		2267		18002		6786		3542						
	23		3650		2265		14593		8869		2678						
	24		3399		2267		12539		9377		2061						
