03/09/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		971		202		244		488		3833		0		0		
	2		970		207		244		488		3599		0		0		
	3		969		213		245		490		3172		0		1		
	4		968		215		245		486		3161		0		0		
	5		970		220		245		493		2992		0		0		
	6		970		220		245		558		3209		0		0		
	7		968		212		244		618		3242		735		5		
	8		968		207		244		589		2953		4890		69		
	9		969		206		245		547		2425		7722		215		
	10		968		204		244		493		1933		8901		155		
	11		968		205		243		411		1545		8840		136		
	12		966		204		243		388		1520		8616		128		
	13		966		207		244		373		1619		8560		121		
	14		967		206		243		401		1701		7512		128		
	15		965		208		243		406		1837		6159		132		
	16		965		208		243		407		1827		4869		87		
	17		965		211		243		508		1900		2525		29		
	18		965		213		244		638		1767		376		0		
	19		965		220		244		640		1588		0		0		
	20		964		218		244		637		1744		0		0		
	21		965		216		244		640		1880		0		0		
	22		965		213		244		538		1887		0		0		
	23		967		216		245		489		1731		0		0		
	24		967		217		244		485		1669		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5738		1127		6411		5250		3721						
	2		5508		1126		6103		4923		3795						
	3		4121		1125		7357		4541		3779						
	4		5075		1125		6431		4520		3796						
	5		4920		1125		6539		4570		3892						
	6		5202		1124		6721		4756		3882						
	7		6024		1125		6455		4787		3877						
	8		9920		1125		4772		2819		3709						
	9		12329		1125		3528		1329		3785						
	10		12898		1124		2891		1375		3650						
	11		12348		1124		3074		1804		3562						
	12		12065		1124		3139		1736		3363						
	13		12090		1124		3003		1144		3369						
	14		11158		1123		3177		1714		3408						
	15		9950		1123		3850		2704		3370						
	16		8606		1123		4568		3675		3640						
	17		6381		1122		6096		4863		3851						
	18		4203		1122		8214		6365		4229						
	19		3657		1122		9770		7228		4363						
	20		3807		1123		9707		7015		4376						
	21		3945		1123		9078		7248		4107						
	22		3847		1123		9009		6628		4131						
	23		3648		1123		8742		5854		4113						
	24		3582		1123		8443		5148		3814						
