09/02/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		916		341		209		226		2529		0		0		
	2		918		341		210		226		2571		0		0		
	3		914		342		210		226		2483		0		0		
	4		913		343		210		225		2659		0		0		
	5		915		344		209		226		2802		0		0		
	6		915		344		209		228		2595		0		0		
	7		913		348		209		227		2260		174		0		
	8		908		350		202		217		1798		3004		156		
	9		903		346		199		183		1464		7294		332		
	10		891		350		198		201		1124		9518		374		
	11		890		350		195		210		809		10427		375		
	12		883		349		195		250		653		10792		373		
	13		881		349		201		258		601		10837		372		
	14		880		349		205		262		593		10806		372		
	15		877		347		207		263		699		10617		368		
	16		881		348		207		260		1021		10077		362		
	17		890		351		206		257		1622		8947		352		
	18		890		347		207		270		2385		6084		274		
	19		893		345		209		308		2918		1634		82		
	20		900		348		209		308		3436		16		4		
	21		906		346		209		262		3613		0		0		
	22		910		348		208		251		3801		0		0		
	23		911		342		209		237		3729		0		0		
	24		913		340		209		237		3800		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4196		2255		9216		7620		1546						
	2		4250		2256		7979		7902		1258						
	3		4154		2253		7468		8047		1049						
	4		4319		2249		7223		8027		866						
	5		4469		2249		7004		8237		873						
	6		4290		2248		7552		8604		1093						
	7		4105		2248		7960		9446		1439						
	8		6430		2250		7989		8686		955						
	9		10555		2253		7324		6465		689						
	10		12604		2256		6897		4519		916						
	11		13241		2258		6908		3998		988						
	12		13485		2258		7069		4281		849						
	13		13501		2258		7610		4843		747						
	14		13466		2258		8086		4885		1343						
	15		13387		2256		9597		4670		1609						
	16		13170		2255		10852		4949		1844						
	17		12675		2254		11656		5455		2212						
	18		10636		2256		12951		6003		3117						
	19		6557		2256		14829		7080		3922						
	20		5207		2257		14923		7824		3807						
	21		5299		2258		13889		8104		3578						
	22		5478		2259		12842		7898		2868						
	23		5391		2260		11911		7155		2213						
	24		5460		2259		10169		6956		1864						
