03/01/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		985		281		240		391		2766		0		0		
	2		986		282		242		390		2556		0		0		
	3		985		280		244		389		2187		0		0		
	4		986		282		244		389		2398		0		0		
	5		985		285		245		410		2107		0		0		
	6		986		284		244		415		2200		0		0		
	7		987		281		243		538		1970		113		0		
	8		986		279		242		503		1723		1346		0		
	9		984		280		237		457		1573		4233		0		
	10		983		276		235		401		1418		6573		22		
	11		981		269		235		398		1248		6894		142		
	12		979		266		236		360		1465		6621		99		
	13		978		262		237		338		1988		5823		128		
	14		978		259		237		335		2476		4496		120		
	15		978		259		239		348		3226		3661		83		
	16		979		264		240		422		3760		2942		58		
	17		980		267		240		430		3259		1219		8		
	18		980		264		240		473		2390		102		0		
	19		979		257		241		471		1851		0		0		
	20		979		261		241		471		1457		0		0		
	21		980		263		240		475		1350		0		0		
	22		981		265		238		439		1236		0		0		
	23		981		249		239		433		935		0		0		
	24		981		243		239		432		1089		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4663		1132		8759		3265		2892						
	2		4456		1132		8683		2984		2769						
	3		3100		1132		9680		2967		2797						
	4		4299		1131		8193		3023		2812						
	5		4032		1131		8577		2950		2999						
	6		4129		1131		9734		2809		3295						
	7		4132		1132		11453		3012		3394						
	8		5079		1132		11020		3613		3267						
	9		7764		1132		9684		2425		3024						
	10		9908		1132		7814		1840		2767						
	11		10167		1132		7442		1394		2608						
	12		10026		1132		7642		1278		2501						
	13		9754		1132		7908		1359		2598						
	14		8901		1132		7900		2298		2541						
	15		8794		1131		8203		1702		2620						
	16		8665		1131		8682		1614		2663						
	17		6403		1132		9939		3026		3124						
	18		4449		1133		12611		3323		3517						
	19		3799		1132		14312		3496		3819						
	20		3409		1132		14059		4117		3635						
	21		3308		1131		13437		4226		3645						
	22		3159		1132		12697		4414		3330						
	23		2837		1132		12422		3542		3192						
	24		2984		1131		11468		3117		2901						
