04/04/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		988		357		213		172		3982		0		0		
	2		987		353		214		167		3633		0		0		
	3		989		354		214		166		3287		0		0		
	4		991		356		215		167		3199		0		0		
	5		992		355		215		167		3204		0		0		
	6		990		361		215		167		3241		0		0		
	7		994		362		215		167		2937		150		0		
	8		993		362		215		160		2715		3249		89		
	9		990		361		215		125		2640		7543		252		
	10		987		353		214		125		2311		8418		315		
	11		978		352		214		126		1910		8792		371		
	12		866		327		212		125		1562		9061		373		
	13		839		302		212		125		1583		9171		365		
	14		839		302		213		126		1664		9143		336		
	15		837		302		214		126		2190		8887		244		
	16		836		311		214		125		2760		9342		288		
	17		932		314		214		167		3297		9266		245		
	18		973		313		214		169		3581		6153		163		
	19		974		312		214		191		4004		1410		0		
	20		978		313		215		193		4035		1		0		
	21		980		311		214		192		3833		0		0		
	22		982		289		198		191		3891		0		0		
	23		983		283		208		183		4275		0		0		
	24		983		284		214		174		4958		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5689		1147		8125		5177		601						
	2		5354		1147		7903		5099		498						
	3		5000		1147		7433		5414		498						
	4		4917		1146		7388		5205		508						
	5		4901		1146		7110		5305		511						
	6		4961		1146		6906		5698		496						
	7		4802		1146		6905		6218		670						
	8		7557		1146		5804		4756		494						
	9		11975		1146		3921		2471		154						
	10		12724		1146		3332		1241		186						
	11		12740		1146		3046		351		178						
	12		12541		1146		2738		102		245						
	13		12606		1146		2508		-97		281						
	14		12633		1146		2455		-100		195						
	15		12771		1147		2570		228		167						
	16		13790		1147		3173		-405		328						
	17		14512		1147		3834		-32		237						
	18		11754		1147		4788		2845		495						
	19		7275		1147		5517		6457		1615						
	20		5751		1147		6794		7907		1867						
	21		5495		1147		6899		8283		2091						
	22		5488		1147		7245		8228		1282						
	23		5860		1147		7566		7019		785						
	24		6548		1147		7281		5438		613						
