05/22/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		922		370		189		473		4056		0		0		
	2		922		371		188		471		3782		0		0		
	3		922		373		188		473		3421		0		0		
	4		922		372		188		472		3391		0		0		
	5		924		374		186		476		3678		0		0		
	6		924		372		188		581		3745		0		0		
	7		923		368		184		585		3607		1052		0		
	8		921		368		178		531		3565		3692		0		
	9		920		371		171		466		3155		5632		0		
	10		918		367		171		425		3318		6381		0		
	11		916		345		172		425		3495		6900		0		
	12		915		336		173		384		3171		6346		0		
	13		913		360		173		373		2766		6140		0		
	14		913		367		174		376		2803		5819		0		
	15		912		365		178		384		3600		6726		0		
	16		910		373		178		423		4233		7083		0		
	17		909		377		178		429		4606		6435		0		
	18		907		373		179		469		4701		5634		0		
	19		907		375		181		529		4654		2929		0		
	20		906		372		187		577		4466		339		0		
	21		906		369		187		588		4355		0		0		
	22		909		368		187		585		4056		0		0		
	23		909		371		187		535		4302		0		0		
	24		905		370		186		486		4010		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		6010		2279		2481		6381		3537						
	2		5734		2278		2415		6211		3381						
	3		4455		2278		3408		6040		3500						
	4		5345		2278		2667		5719		3535						
	5		5638		2279		2777		5122		4067						
	6		5810		2279		3216		5795		4035						
	7		6719		2279		3197		6466		4014						
	8		9255		2280		3005		5271		3723						
	9		10715		2279		2890		4061		3529						
	10		11580		2279		2855		3205		3283						
	11		12253		2278		2714		2645		3158						
	12		11325		2277		2799		2955		3200						
	13		10725		2277		2669		3627		3193						
	14		10452		2279		2658		4086		3098						
	15		12165		2280		2229		2868		2962						
	16		13200		2280		2196		2161		3104						
	17		12934		2280		2369		2271		3093						
	18		12263		2281		2708		2345		3682						
	19		9575		2281		3189		4821		4291						
	20		6847		2281		3466		8002		4542						
	21		6405		2281		3770		9033		4673						
	22		6105		2278		3835		8617		4670						
	23		6304		2277		3557		6918		4584						
	24		5957		2280		3093		6609		3963						
