04/05/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		829		294		212		422		2216		0		0		
	2		829		295		212		402		2558		0		0		
	3		828		298		212		406		2912		0		0		
	4		828		299		212		406		3017		0		0		
	5		828		298		210		377		2960		0		0		
	6		828		292		211		375		2608		0		0		
	7		827		290		211		393		2544		49		0		
	8		829		292		210		403		2750		2346		0		
	9		826		289		207		400		2846		6198		60		
	10		824		276		207		427		2637		8047		222		
	11		824		277		206		429		2473		7969		387		
	12		826		276		208		428		2840		7714		483		
	13		827		277		208		414		3123		7968		444		
	14		846		281		209		414		3396		7728		409		
	15		854		279		204		423		3783		7017		313		
	16		892		289		201		425		3909		6141		372		
	17		943		296		204		424		3680		6196		156		
	18		934		292		207		424		3503		5005		18		
	19		942		292		206		424		3049		1539		0		
	20		941		290		208		459		2666		2		0		
	21		941		289		215		544		2698		0		0		
	22		940		291		211		546		2852		0		0		
	23		941		288		221		540		3201		0		0		
	24		941		286		221		540		3314		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3973		1611		5358		5936		3540						
	2		4296		1609		5132		4887		3533						
	3		3828		1609		5555		4642		3403						
	4		4762		1608		4463		4743		3430						
	5		4673		1607		4577		5114		3492						
	6		4314		1609		5125		6164		3615						
	7		4314		1610		5961		7407		3688						
	8		6830		1612		6033		5975		3515						
	9		10826		1613		4972		3409		3169						
	10		12640		1614		5033		1969		3239						
	11		12565		1611		4536		2870		3335						
	12		12775		1610		4320		2883		3314						
	13		13261		1610		4198		2085		3137						
	14		13283		1609		4203		1776		3072						
	15		12873		1609		4243		1438		3093						
	16		12229		1608		4179		1670		3159						
	17		11899		1608		4545		1586		3199						
	18		10383		1607		4628		3164		3533						
	19		6452		1607		5349		6816		3938						
	20		4566		1608		6781		8591		3995						
	21		4687		1610		6500		8891		4006						
	22		4840		1613		6153		8278		3896						
	23		5191		1612		5185		7693		3588						
	24		5302		1612		4421		6721		3647						
